x1,x2,d,y,e,membership_function
-1,0.4141414,6.2573207,6.2661476,7.79e-05,gaussmf
-1,0.4343434,6.1161106,6.1242072,6.56e-05,gaussmf
-1,0.4343434,5.976533,5.9837851,5.26e-05,gaussmf
-1,0.4343434,5.8385879,5.8449168,4.01e-05,gaussmf
-1,0.4545455,5.7022753,5.7076348,2.87e-05,gaussmf
-1,0.4545455,5.5675951,5.5719693,1.91e-05,gaussmf
-1,0.4545455,5.4345475,5.4379473,1.16e-05,gaussmf
-1,0.4747475,5.3031323,5.3055933,6.1e-06,gaussmf
-1,0.4747475,5.1733497,5.1749287,2.5e-06,gaussmf
-1,0.4747475,5.0451995,5.0459721,6e-07,gaussmf
-1,0.4949495,4.9186818,4.9187392,0,gaussmf
-1,0.4949495,4.7937966,4.7932427,3e-07,gaussmf
-1,0.4949495,4.6705438,4.6694927,1.1e-06,gaussmf
-1,0.5151515,4.5489236,4.5474963,2e-06,gaussmf
-1,0.5151515,4.4289358,4.427258,2.8e-06,gaussmf
-1,0.5151515,4.3105806,4.3087795,3.2e-06,gaussmf
-1,0.5353535,4.1938578,4.19206,3.2e-06,gaussmf
-1,0.5353535,4.0787675,4.0770965,2.8e-06,gaussmf
-1,0.5353535,3.9653097,3.9638836,2e-06,gaussmf
-1,0.5555556,3.8534843,3.8524137,1.1e-06,gaussmf
-1,0.5555556,3.7432915,3.7426775,4e-07,gaussmf
-1,0.5555556,3.6347311,3.6346641,0,gaussmf
-1,0.5757576,3.5278033,3.5283609,3e-07,gaussmf
-1,0.5757576,3.4225079,3.4237543,1.6e-06,gaussmf
-1,0.5757576,3.318845,3.3208298,3.9e-06,gaussmf
-1,0.5959596,3.2168146,3.2195721,7.6e-06,gaussmf
-1,0.5959596,3.1164167,3.1199654,1.26e-05,gaussmf
-1,0.5959596,3.0176513,3.0219942,1.89e-05,gaussmf
-1,0.6161616,2.9205183,2.9256426,2.63e-05,gaussmf
-1,0.6161616,2.8250179,2.8308955,3.45e-05,gaussmf
-1,0.6161616,2.7311499,2.7377384,4.34e-05,gaussmf
-1,0.6363636,2.6389144,2.6461575,5.25e-05,gaussmf
-1,0.6363636,2.5483114,2.5561405,6.13e-05,gaussmf
-1,0.6363636,2.4593409,2.4676761,6.95e-05,gaussmf
-1,0.6565657,2.3720029,2.3807549,7.66e-05,gaussmf
-1,0.6565657,2.2862973,2.295369,8.23e-05,gaussmf
-1,0.6565657,2.2022243,2.2115123,8.63e-05,gaussmf
-1,0.6767677,2.1197837,2.1291809,8.83e-05,gaussmf
-1,0.6767677,2.0389756,2.0483725,8.83e-05,gaussmf
-1,0.6767677,1.9598,1.9690874,8.63e-05,gaussmf
-1,0.6969697,1.8822569,1.8913275,8.23e-05,gaussmf
-1,0.6969697,1.8063463,1.8150968,7.66e-05,gaussmf
-1,0.6969697,1.7320682,1.7404015,6.94e-05,gaussmf
-1,0.7171717,1.6594225,1.6672493,6.13e-05,gaussmf
-1,0.7171717,1.5884093,1.5956498,5.24e-05,gaussmf
-1,0.7171717,1.5190287,1.5256143,4.34e-05,gaussmf
-1,0.7373737,1.4512805,1.457155,3.45e-05,gaussmf
-1,0.7373737,1.3851648,1.3902858,2.62e-05,gaussmf
-1,0.7373737,1.3206816,1.3250211,1.88e-05,gaussmf
-1,0.7575758,1.2578308,1.2613761,1.26e-05,gaussmf
-1,0.7575758,1.1966126,1.1993666,7.6e-06,gaussmf
-1,0.7575758,1.1370268,1.1390082,3.9e-06,gaussmf
-1,0.7777778,1.0790736,1.0803167,1.5e-06,gaussmf
-1,0.7777778,1.0227528,1.0233073,3e-07,gaussmf
-1,0.7777778,0.9680645,0.9679945,0,gaussmf
-1,0.7979798,0.9150087,0.9143921,4e-07,gaussmf
-1,0.7979798,0.8635853,0.8625124,1.2e-06,gaussmf
-1,0.7979798,0.8137945,0.8123664,2e-06,gaussmf
-1,0.8181818,0.7656362,0.7639636,2.8e-06,gaussmf
-1,0.8181818,0.7191103,0.7173113,3.2e-06,gaussmf
-1,0.8181818,0.6742169,0.672415,3.2e-06,gaussmf
-1,0.8383838,0.630956,0.6292777,2.8e-06,gaussmf
-1,0.8383838,0.5893276,0.5879003,2e-06,gaussmf
-1,0.8383838,0.5493317,0.5482809,1.1e-06,gaussmf
-1,0.8585859,0.5109683,0.5104151,3e-07,gaussmf
-1,0.8585859,0.4742373,0.4742957,0,gaussmf
-1,0.8585859,0.4391389,0.4399127,6e-07,gaussmf
-1,0.8787879,0.4056729,0.4072534,2.5e-06,gaussmf
-1,0.8787879,0.3738394,0.3763021,6.1e-06,gaussmf
-1,0.8787879,0.3436384,0.34704,1.16e-05,gaussmf
-1,0.8989899,0.3150699,0.3194459,1.91e-05,gaussmf
-1,0.8989899,0.2881339,0.2934953,2.87e-05,gaussmf
-1,0.8989899,0.2628303,0.269161,4.01e-05,gaussmf
-1,0.9191919,0.2391593,0.2464131,5.26e-05,gaussmf
-1,0.9191919,0.2171207,0.2252189,6.56e-05,gaussmf
-1,0.9191919,0.1967146,0.2055429,7.79e-05,gaussmf
-1,0.9393939,0.177941,0.1873471,8.85e-05,gaussmf
-1,0.9393939,0.1607999,0.1705906,9.59e-05,gaussmf
-1,0.9393939,0.1452913,0.1552301,9.88e-05,gaussmf
-1,0.959596,0.1314152,0.1412192,9.61e-05,gaussmf
-1,0.959596,0.1191715,0.1285081,8.72e-05,gaussmf
-1,0.959596,0.1085604,0.1170436,7.2e-05,gaussmf
-1,0.979798,0.0995817,0.10677,5.17e-05,gaussmf
-1,0.979798,0.0922355,0.0976297,2.91e-05,gaussmf
-1,0.979798,0.0865218,0.0895635,9.3e-06,gaussmf
-1,1,0.0824406,0.0825108,0,gaussmf
-1,1,0.0799918,0.0764101,1.28e-05,gaussmf
-1,1,0.0791756,0.0711991,6.36e-05,gaussmf
-0.979798,-1,8.117539,8.1072269,0.0001063,gaussmf
-0.979798,-1,7.9567391,7.9508223,3.5e-05,gaussmf
-0.979798,-1,7.7975717,7.7953072,5.1e-06,gaussmf
-0.979798,-0.979798,7.6400367,7.6407438,5e-07,gaussmf
-0.979798,-0.979798,7.4841343,7.4871939,9.4e-06,gaussmf
-0.979798,-0.979798,7.3298643,7.3347179,2.36e-05,gaussmf
-0.979798,-0.959596,7.1772268,7.1833751,3.78e-05,gaussmf
-0.979798,-0.959596,7.0262218,7.0332232,4.9e-05,gaussmf
-0.979798,-0.959596,6.8768493,6.8843179,5.58e-05,gaussmf
-0.979798,-0.9393939,6.7291093,6.7367123,5.78e-05,gaussmf
-0.979798,-0.9393939,6.5830017,6.5904564,5.56e-05,gaussmf
-0.979798,-0.9393939,6.4385267,6.4455965,5e-05,gaussmf
-0.979798,-0.9191919,6.2956841,6.3021759,4.21e-05,gaussmf
-0.979798,-0.9191919,6.154474,6.1602356,3.32e-05,gaussmf
-0.979798,-0.9191919,6.0148964,6.0198135,2.42e-05,gaussmf
-0.979798,-0.8989899,5.8769513,5.8809451,1.6e-05,gaussmf
-0.979798,-0.8989899,5.7406387,5.7436631,9.1e-06,gaussmf
-0.979798,-0.8989899,5.6059586,5.6079976,4.2e-06,gaussmf
-0.979798,-0.8787879,5.4729109,5.4739757,1.1e-06,gaussmf
-0.979798,-0.8787879,5.3414958,5.3416217,0,gaussmf
-0.979798,-0.8787879,5.2117131,5.2109571,6e-07,gaussmf
-0.979798,-0.8585859,5.0835629,5.0820004,2.4e-06,gaussmf
